ID,X,Y,Z,A_start,D_start,P_G,W_G,Routes,midPoint,G_R
5000,5000,5000,4,0|2500|0,4990|1500|0,4900|1500|0-4900|2500|0-4900|3500|0,33-33-34,10,x,1-1-1,0,31
100,100,100,4,0|50|0,98|50|0,90|40|0-90|50|0-90|60|0,33-33-34,10,x,1-1-1,99,10
100,100,100,4,0|50|0,98|50|0,90|40|0-90|50|0-90|60|0,33-33-34,10,x,1-1-1,0,20
10,10,10,4,0|5|0,9|5|0,9|4|0-9|3|0-9|6|0,33-33-34,10,x,1-1-1,99,10
10,10,10,4,0|5|0,9|5|0,9|4|0-9|3|0-9|6|0,33-33-34,10,x,1-1-1,0,20
500,500,500,4,0|250|0,498|250|0,490|150|0-490|50|0-490|250|0,33-33-34,10,x,1-1-1,0,20
500,500,500,4,0|250|0,498|250|0,490|150|0-490|50|0-490|250|0,33-33-34,10,x,1-1-1,99,10
500,500,500,4,0|250|0,498|250|0,490|150|0-490|50|0-490|250|0,33-33-34,10,x,1-1-1,0,15
1000,1000,1000,4,0|500|0,990|500|0,900|400|0-900|500|0-900|300|0,33-33-34,10,x,1-1-1,0,20
1000,1000,1000,4,0|500|0,990|500|0,900|400|0-900|500|0-900|300|0,33-33-34,10,x,1-1-1,99,10
1000,1000,1000,4,0|500|0,990|500|0,900|400|0-900|500|0-900|300|0,33-33-34,10,x,1-1-1,0,15
5000,5000,5000,4,0|2500|0,4990|1500|0,4900|1500|0-4900|2500|0-4900|3500|0,33-33-34,10,x,1-1-1,99,10
5000,5000,5000,4,0|2500|0,4990|1500|0,4900|1500|0-4900|2500|0-4900|3500|0,33-33-34,10,x,1-1-1,0,15
10000,10000,10000,4,0|5000|0,9900|5000|0,9000|5000|0-9000|4000|0-9000|5000|0,33-33-34,10,x,1-1-1,0,20
10000,10000,10000,4,0|5000|0,9900|5000|0,9000|5000|0-9000|4000|0-9000|5000|0,33-33-34,10,x,1-1-1,0,15
10000,10000,10000,4,0|5000|0,9900|5000|0,9000|5000|0-9000|4000|0-9000|5000|0,33-33-34,10,x,1-1-1,0,60
10000,10000,10000,4,0|5000|0,9900|5000|0,9000|5000|0-9000|4000|0-9000|5000|0,33-33-34,10,x,1-1-1,99,10
