ID,X,Y,Z,A_start,D_start,P_G,W_G,Routes ,midPoint,G_R,mode
1,10,20,4,5|0|0,5|19|0,0|19|0-9|19|0,50-50,1,x,1-1,3
2,10,20,4,5|0|0,5|19|0,0|19|0-9|19|0,50-50,2,x,1-1,3
3,10,20,4,5|0|0,5|19|0,0|19|0-9|19|0,50-50,3,x,1-1,3
4,10,20,4,5|0|0,5|19|0,0|19|0-9|19|0,50-50,4,x,1-1,3
1,10,20,4,5|0|0,5|19|0,0|19|0-9|19|0,50-50,1,x,1-1,2
2,10,20,4,5|0|0,5|19|0,0|19|0-9|19|0,50-50,2,x,1-1,2
3,10,20,4,5|0|0,5|19|0,0|19|0-9|19|0,50-50,3,x,1-1,2
4,10,20,4,5|0|0,5|19|0,0|19|0-9|19|0,50-50,4,x,1-1,2
1,10,20,4,5|0|0,5|19|0,0|19|0-9|19|0,50-50,1,x,1-1,1
2,10,20,4,5|0|0,5|19|0,0|19|0-9|19|0,50-50,2,x,1-1,1
3,10,20,4,5|0|0,5|19|0,0|19|0-9|19|0,50-50,3,x,1-1,1
4,10,20,4,5|0|0,5|19|0,0|19|0-9|19|0,50-50,4,x,1-1,1
