ID,X,Y,Z,A_start,D_start,P_G,W_G,Routes ,midPoint,G_R
2,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,2,x,1-1,77
2,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,2,x,1-1,99
2,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,2,x,1-1,0
4,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,4,x,1-1,77
4,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,4,x,1-1,99
4,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,4,x,1-1,0
8,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,8,x,1-1,77
8,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,8,x,1-1,99
8,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,8,x,1-1,0
12,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,12,x,1-1,77
12,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,12,x,1-1,99
12,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,12,x,1-1,0
1,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,1,x,1-1,77
1,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,1,x,1-1,99
1,200,100,4,0|50|0,199|50|0,195|20|0-195|75|0,50-50,1,x,1-1,0
